domain,total_count,items_count,pos_1,pos_2_3,pos_4_10,pos_11_20,etv,estimated_paid_traffic_cost,is_new,is_up,is_down
twominutereports.com,2265,700,5,8,85,310,2360.881711203605,22900.077778561856,1271,495,461
agencyanalytics.com,19316,700,42,151,722,1440,35404.87927358225,443325.26338824636,7724,4133,7175
dashthis.com,10341,700,349,819,2649,1975,110217.98494887166,929554.331438658,3629,3232,2784
whatagraph.com,7129,700,197,354,1208,1473,74208.20281221718,768278.9677736852,2475,2271,2011
swydo.com,2303,700,10,38,233,297,4683.997671049088,114803.07122980664,936,607,690
databox.com,19812,700,113,525,2454,2953,113093.46218215674,1127826.2794738263,8117,5201,5877
tapclicks.com,2681,700,22,46,471,558,17203.50671165064,71558.91290205019,994,997,610
reportgarden.com,4844,700,8,51,667,893,7731.651047838852,88014.56191594951,2382,1426,880
reportingninja.com,2212,700,22,46,250,457,8305.680595597252,76553.44325888343,735,850,552
supermetrics.com,4548,700,127,231,933,844,16973.016349585727,251633.19229492662,1870,1566,862
powermyanalytics.com,500,500,3,9,61,111,905.5919181853533,6484.168158242479,203,158,115
funnel.io,9523,700,244,415,1559,2089,75269.87159628235,926766.7520862613,3454,3198,2392
windsor.ai,4804,700,19,81,544,869,39651.17579912394,113356.02503899252,2157,1526,985
portermetrics.com,3114,700,49,111,401,651,5394.116306314245,39320.72821687651,1528,940,539
coupler.io,18428,700,121,555,2531,3307,55441.728810530156,240985.2750475792,5684,6139,5798
oviond.com,1290,700,3,15,51,191,1297.4621779043227,14387.337228567107,503,372,388
