cluster_id,cluster_name,intent,keyword_count,total_search_volume,primary_keyword,recommended_action,notes
1,seo report template,Comparison / competitor alternative,119,8740,seo report template,New page,
2,social media report template,Template / downloadable asset,2,740,social media report template,New page,
3,marketing kpi dashboard,Reporting software category,1,210,marketing kpi dashboard,New page,
4,woocommerce to google sheets,Connector / destination workflow,1,20,woocommerce to google sheets,New page,
5,shopify to google sheets,Connector / destination workflow,1,20,shopify to google sheets,New page,
6,shopify reporting tool,Reporting software category,1,20,shopify reporting tool,New page,
7,hubspot reporting tool,Reporting software category,2,30,hubspot reporting tool,New page,
8,woocommerce reporting tool,Reporting software category,1,10,woocommerce reporting tool,New page,
9,hubspot report template,Template / downloadable asset,1,10,hubspot report template,New page,
10,google ads to google sheets,Connector / destination workflow,1,10,google ads to google sheets,New page,
11,connect shopify to chatgpt,AI-assisted reporting,1,10,connect shopify to chatgpt,New page,
12,amazon ads reporting tool,Reporting software category,2,20,amazon ads reporting tool,New page,
13,mcp marketing reporting,AI-assisted reporting,1,0,mcp marketing reporting,New page,
14,connect marketing data to chatgpt,AI-assisted reporting,1,0,connect marketing data to chatgpt,New page,
