severity,category,path,issue,evidence,recommendation
P0,API reference,/api-reference/openapi.json,"Public OpenAPI spec is Mintlify Plant Store sample, not Oviond.","Found title='OpenAPI Plant Store', server='http://sandbox.mintlify.com', /plants paths.",Replace with the real Oviond OpenAPI JSON or remove/hide the endpoint before launch.
P2,Thin content,/account/delete,Short non-API guide page.,194 words; title='Delete Account',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/account/usage,Short non-API guide page.,169 words; title='Usage',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/activity-log/overview,Very thin page content.,97 words; title='Activity Log',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/agency/add,Short non-API guide page.,153 words; title='Add Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/agency/archive,Short non-API guide page.,161 words; title='Archive Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/agency/bulk-delete,Short non-API guide page.,122 words; title='Bulk Delete',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/agency/duplicate,Short non-API guide page.,145 words; title='Duplicate Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/agency/list,Short non-API guide page.,128 words; title='List Projects',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/agency/pages,Short non-API guide page.,187 words; title='Pages',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/agency/share,Short non-API guide page.,188 words; title='Share Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/agency/update,Short non-API guide page.,129 words; title='Update Project',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/api-keys/add,Short non-API guide page.,144 words; title='Add API Key',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/api-keys/delete,Very thin page content.,100 words; title='Delete API Key',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/api-keys/revoke,Short non-API guide page.,135 words; title='Revoke API Key',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Content structure,/api/openapi.json,Missing H1 title.,word_count=13166,Add exactly one H1 that matches the page intent.
P2,Thin content,/archive/delete,Short non-API guide page.,155 words; title='Permanently Delete',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/archive/restore,Short non-API guide page.,190 words; title='Restore',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/archive/view,Very thin page content.,97 words; title='View Archive',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/automations/add,Short non-API guide page.,151 words; title='Add Automation',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/automations/delete,Short non-API guide page.,122 words; title='Delete Automation',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/automations/history,Short non-API guide page.,165 words; title='Run History',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/automations/list,Short non-API guide page.,166 words; title='List Automations',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/automations/test,Short non-API guide page.,151 words; title='Test Automation',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/billing/invoices,Short non-API guide page.,149 words; title='Invoices',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/clients/add,Short non-API guide page.,181 words; title='Create a Client',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/clients/archive,Short non-API guide page.,162 words; title='Archive Client',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/clients/bulk-delete,Short non-API guide page.,187 words; title='Bulk Delete',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/clients/folders,Short non-API guide page.,186 words; title='Group Clients',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/clients/list,Short non-API guide page.,212 words; title='List Clients',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P1,Thin content,/company/overview,Very thin page content.,98 words; title='Company',"Expand with purpose, prerequisites, steps, expected outcome, and related links."
P2,Thin content,/custom-data/delete,Short non-API guide page.,124 words; title='Delete Custom Data',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/custom-data/duplicate,Short non-API guide page.,125 words; title='Duplicate Custom Data',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/custom-data/list,Short non-API guide page.,140 words; title='List Custom Data',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
P2,Thin content,/custom-data/update,Short non-API guide page.,146 words; title='Update Custom Data',"Add stronger task context, edge cases, screenshots/GIFs, and next-step links."
