keyword,cluster,source,seed,relevance_score,search_volume,cpc,competition,competition_level,low_top_of_page_bid,high_top_of_page_bid,monthly_trend_pct,quarterly_trend_pct,yearly_trend_pct,recent_3mo_vs_prior_3mo_pct,latest_month_yoy_pct,keyword_difficulty,main_intent,words_count,last_updated_time
agency reporting software,agency_reporting,seed,self,17,70,33.88,3,LOW,29.01,509.37,,,,183.3,-47.6,,,,
agency reporting tool,agency_reporting,generated,agency reporting,17,70,,1,LOW,,,,,,450.0,55.6,,,,
marketing agency reporting software,agency_reporting,dataforseo_suggestion,marketing reporting software,20,50,75.13,4,LOW,,,,,,275.0,22.2,,,,
digital agency reporting software,agency_reporting,dataforseo_suggestion,agency reporting software,17,10,,0,LOW,,,,,,50.0,0.0,,,,
agency reporting automation,agency_reporting,generated,agency reporting,18,,,,,,,,,,,,,,,
agency reporting for marketing agencies,agency_reporting,generated,agency reporting,18,,,,,,,,,,,,,,,
agency reporting for agencies,agency_reporting,generated,agency reporting,15,,,,,,,,,,,,,,,
agency reporting for digital agencies,agency_reporting,generated,agency reporting,15,,,,,,,,,,,,,,,
agency reporting for small agencies,agency_reporting,generated,agency reporting,15,,,,,,,,,,,,,,,
agency reporting platform,agency_reporting,generated,agency reporting,15,,,,,,,,,,,,,,,
agency reporting reports,agency_reporting,generated,agency reporting,15,,,,,,,,,,,,,,,
agency reporting template,agency_reporting,generated,agency reporting,15,,,,,,,,,,,,,,,
ai reporting tools,ai_reporting,dataforseo_idea,AI marketing reporting|AI report generator for agencies|ChatGPT marketing reporting,15,170,29.06,31,LOW,6.87,23.9,,,,196.3,50.0,,,,
ai marketing reporting,ai_reporting,seed,self,16,20,16.61,32,LOW,8.47,13.71,,,,33.3,-66.7,,,,
ai client reporting dashboard,ai_reporting,generated,ai client reporting,20,,,,,,,,,,,,,,,
ai marketing reporting dashboard,ai_reporting,generated,ai marketing reporting,20,,,,,,,,,,,,,,,
mcp marketing reporting dashboard,ai_reporting,generated,mcp marketing reporting,20,,,,,,,,,,,,,,,
ai client reporting automation,ai_reporting,generated,ai client reporting,19,,,,,,,,,,,,,,,
ai marketing reporting automation,ai_reporting,generated,ai marketing reporting,19,,,,,,,,,,,,,,,
ai marketing reporting for clients,ai_reporting,generated,ai marketing reporting,19,,,,,,,,,,,,,,,
chatgpt marketing reports reporting software,ai_reporting,generated,chatgpt marketing reports,19,,,,,,,,,,,,,,,
chatgpt marketing reports reporting tool,ai_reporting,generated,chatgpt marketing reports,19,,,,,,,,,,,,,,,
mcp marketing reporting automation,ai_reporting,generated,mcp marketing reporting,19,,,,,,,,,,,,,,,
mcp marketing reporting for clients,ai_reporting,generated,mcp marketing reporting,19,,,,,,,,,,,,,,,
ai client reporting for marketing agencies,ai_reporting,generated,ai client reporting,18,,,,,,,,,,,,,,,
ai client reporting software,ai_reporting,generated,ai client reporting,18,,,,,,,,,,,,,,,
ai client reporting tool,ai_reporting,generated,ai client reporting,18,,,,,,,,,,,,,,,
ai marketing reporting software,ai_reporting,generated,ai marketing reporting,18,,,,,,,,,,,,,,,
ai marketing reporting tool,ai_reporting,generated,ai marketing reporting,18,,,,,,,,,,,,,,,
claude marketing analytics reporting software,ai_reporting,generated,claude marketing analytics,18,,,,,,,,,,,,,,,
claude marketing analytics reporting tool,ai_reporting,generated,claude marketing analytics,18,,,,,,,,,,,,,,,
mcp marketing reporting software,ai_reporting,generated,mcp marketing reporting,18,,,,,,,,,,,,,,,
mcp marketing reporting tool,ai_reporting,generated,mcp marketing reporting,18,,,,,,,,,,,,,,,
chatgpt marketing reporting,ai_reporting,seed,self,17,,,,,,,,,,,,,,,
ai client reporting for agencies,ai_reporting,generated,ai client reporting,16,,,,,,,,,,,,,,,
ai client reporting for clients,ai_reporting,generated,ai client reporting,16,,,,,,,,,,,,,,,
ai client reporting platform,ai_reporting,generated,ai client reporting,16,,,,,,,,,,,,,,,
ai client reporting reports,ai_reporting,generated,ai client reporting,16,,,,,,,,,,,,,,,
ai client reporting template,ai_reporting,generated,ai client reporting,16,,,,,,,,,,,,,,,
ai marketing reporting for agencies,ai_reporting,generated,ai marketing reporting,16,,,,,,,,,,,,,,,
ai marketing reporting platform,ai_reporting,generated,ai marketing reporting,16,,,,,,,,,,,,,,,
ai marketing reporting reports,ai_reporting,generated,ai marketing reporting,16,,,,,,,,,,,,,,,
ai marketing reporting template,ai_reporting,generated,ai marketing reporting,16,,,,,,,,,,,,,,,
chatgpt marketing reports dashboard,ai_reporting,generated,chatgpt marketing reports,16,,,,,,,,,,,,,,,
mcp marketing reporting,ai_reporting,seed,self,16,,,,,,,,,,,,,,,
mcp marketing reporting for agencies,ai_reporting,generated,mcp marketing reporting,16,,,,,,,,,,,,,,,
mcp marketing reporting platform,ai_reporting,generated,mcp marketing reporting,16,,,,,,,,,,,,,,,
mcp marketing reporting reports,ai_reporting,generated,mcp marketing reporting,16,,,,,,,,,,,,,,,
mcp marketing reporting template,ai_reporting,generated,mcp marketing reporting,16,,,,,,,,,,,,,,,
ai client reporting for digital agencies,ai_reporting,generated,ai client reporting,15,,,,,,,,,,,,,,,
ai client reporting for small agencies,ai_reporting,generated,ai client reporting,15,,,,,,,,,,,,,,,
ai marketing reporting for digital agencies,ai_reporting,generated,ai marketing reporting,15,,,,,,,,,,,,,,,
ai marketing reporting for marketing agencies,ai_reporting,generated,ai marketing reporting,15,,,,,,,,,,,,,,,
ai marketing reporting for small agencies,ai_reporting,generated,ai marketing reporting,15,,,,,,,,,,,,,,,
ai report generator reporting software,ai_reporting,generated,ai report generator,15,,,,,,,,,,,,,,,
ai report generator reporting tool,ai_reporting,generated,ai report generator,15,,,,,,,,,,,,,,,
chatgpt marketing reports automation,ai_reporting,generated,chatgpt marketing reports,15,,,,,,,,,,,,,,,
chatgpt marketing reports for clients,ai_reporting,generated,chatgpt marketing reports,15,,,,,,,,,,,,,,,
mcp marketing reporting for digital agencies,ai_reporting,generated,mcp marketing reporting,15,,,,,,,,,,,,,,,
mcp marketing reporting for marketing agencies,ai_reporting,generated,mcp marketing reporting,15,,,,,,,,,,,,,,,
mcp marketing reporting for small agencies,ai_reporting,generated,mcp marketing reporting,15,,,,,,,,,,,,,,,
chatgpt marketing reports software,ai_reporting,generated,chatgpt marketing reports,14,,,,,,,,,,,,,,,
chatgpt marketing reports tool,ai_reporting,generated,chatgpt marketing reports,14,,,,,,,,,,,,,,,
ai report generator dashboard,ai_reporting,generated,ai report generator,12,,,,,,,,,,,,,,,
chatgpt marketing reports,ai_reporting,generated,chatgpt marketing reports,12,,,,,,,,,,,,,,,
chatgpt marketing reports for agencies,ai_reporting,generated,chatgpt marketing reports,12,,,,,,,,,,,,,,,
chatgpt marketing reports platform,ai_reporting,generated,chatgpt marketing reports,12,,,,,,,,,,,,,,,
chatgpt marketing reports template,ai_reporting,generated,chatgpt marketing reports,12,,,,,,,,,,,,,,,
ai report generator automation,ai_reporting,generated,ai report generator,11,,,,,,,,,,,,,,,
ai report generator for clients,ai_reporting,generated,ai report generator,11,,,,,,,,,,,,,,,
chatgpt marketing reports for digital agencies,ai_reporting,generated,chatgpt marketing reports,11,,,,,,,,,,,,,,,
chatgpt marketing reports for marketing agencies,ai_reporting,generated,chatgpt marketing reports,11,,,,,,,,,,,,,,,
chatgpt marketing reports for small agencies,ai_reporting,generated,chatgpt marketing reports,11,,,,,,,,,,,,,,,
claude marketing analytics dashboard,ai_reporting,generated,claude marketing analytics,11,,,,,,,,,,,,,,,
claude marketing analytics reports,ai_reporting,generated,claude marketing analytics,11,,,,,,,,,,,,,,,
ai report generator for marketing agencies,ai_reporting,generated,ai report generator,10,,,,,,,,,,,,,,,
ai report generator software,ai_reporting,generated,ai report generator,10,,,,,,,,,,,,,,,
ai report generator tool,ai_reporting,generated,ai report generator,10,,,,,,,,,,,,,,,
claude marketing analytics automation,ai_reporting,generated,claude marketing analytics,10,,,,,,,,,,,,,,,
claude marketing analytics for clients,ai_reporting,generated,claude marketing analytics,10,,,,,,,,,,,,,,,
claude marketing analytics software,ai_reporting,generated,claude marketing analytics,9,,,,,,,,,,,,,,,
claude marketing analytics tool,ai_reporting,generated,claude marketing analytics,9,,,,,,,,,,,,,,,
ai report generator for agencies,ai_reporting,seed,self,8,,,,,,,,,,,,,,,
ai report generator platform,ai_reporting,generated,ai report generator,8,,,,,,,,,,,,,,,
ai report generator reports,ai_reporting,generated,ai report generator,8,,,,,,,,,,,,,,,
ai report generator template,ai_reporting,generated,ai report generator,8,,,,,,,,,,,,,,,
ai report generator for digital agencies,ai_reporting,generated,ai report generator,7,,,,,,,,,,,,,,,
ai report generator for small agencies,ai_reporting,generated,ai report generator,7,,,,,,,,,,,,,,,
claude marketing analytics for agencies,ai_reporting,generated,claude marketing analytics,7,,,,,,,,,,,,,,,
claude marketing analytics platform,ai_reporting,generated,claude marketing analytics,7,,,,,,,,,,,,,,,
claude marketing analytics template,ai_reporting,generated,claude marketing analytics,7,,,,,,,,,,,,,,,
claude marketing data,ai_reporting,seed,self,7,,,,,,,,,,,,,,,
claude marketing analytics for digital agencies,ai_reporting,generated,claude marketing analytics,6,,,,,,,,,,,,,,,
claude marketing analytics for marketing agencies,ai_reporting,generated,claude marketing analytics,6,,,,,,,,,,,,,,,
claude marketing analytics for small agencies,ai_reporting,generated,claude marketing analytics,6,,,,,,,,,,,,,,,
google analytics reporting template,analytics_reporting,generated,google analytics reporting,11,210,6.24,6,LOW,2.42,11,,,,24.2,-46.2,,,,
google analytics reporting automation,analytics_reporting,generated,google analytics reporting,14,140,19.12,4,LOW,10.15,24.85,,,,26.7,-77.1,,,,
google analytics reporting tool,analytics_reporting,generated,google analytics reporting,13,70,,3,LOW,10.27,37.81,,,,36.4,0.0,,,,
google analytics reporting dashboard,analytics_reporting,generated,google analytics reporting,15,10,,7,LOW,,,,,,33.3,-33.3,,,,
google analytics reporting software,analytics_reporting,generated,google analytics reporting,13,10,,0,LOW,,,,,,0.0,-50.0,,,,
ga4 reporting dashboard,analytics_reporting,generated,ga4 reporting,19,,,,,,,,,,,,,,,
ga4 reporting automation,analytics_reporting,generated,ga4 reporting,18,,,,,,,,,,,,,,,
ga4 reporting for clients,analytics_reporting,generated,ga4 reporting,18,,,,,,,,,,,,,,,
ga4 reporting for marketing agencies,analytics_reporting,generated,ga4 reporting,18,,,,,,,,,,,,,,,
ga4 reporting software,analytics_reporting,generated,ga4 reporting,17,,,,,,,,,,,,,,,
ga4 reporting tool,analytics_reporting,seed,self,17,,,,,,,,,,,,,,,
ga4 reporting for agencies,analytics_reporting,generated,ga4 reporting,15,,,,,,,,,,,,,,,
ga4 reporting for digital agencies,analytics_reporting,generated,ga4 reporting,15,,,,,,,,,,,,,,,
ga4 reporting for small agencies,analytics_reporting,generated,ga4 reporting,15,,,,,,,,,,,,,,,
ga4 reporting platform,analytics_reporting,generated,ga4 reporting,15,,,,,,,,,,,,,,,
ga4 reporting reports,analytics_reporting,generated,ga4 reporting,15,,,,,,,,,,,,,,,
ga4 reporting template,analytics_reporting,generated,ga4 reporting,15,,,,,,,,,,,,,,,
google analytics reporting for clients,analytics_reporting,generated,google analytics reporting,14,,,,,,,,,,,,,,,
google analytics reporting for marketing agencies,analytics_reporting,generated,google analytics reporting,13,,,,,,,,,,,,,,,
google analytics reporting for agencies,analytics_reporting,generated,google analytics reporting,11,,,,,,,,,,,,,,,
google analytics reporting platform,analytics_reporting,generated,google analytics reporting,11,,,,,,,,,,,,,,,
google analytics reporting reports,analytics_reporting,generated,google analytics reporting,11,,,,,,,,,,,,,,,
google analytics reporting for digital agencies,analytics_reporting,generated,google analytics reporting,10,,,,,,,,,,,,,,,
google analytics reporting for small agencies,analytics_reporting,generated,google analytics reporting,10,,,,,,,,,,,,,,,
client reporting tool,client_reporting,generated,client reporting,16,170,,1,LOW,7.77,28.37,,,,186.7,0.0,,,,
