name,category,priority,website,research_status,canonical_profile,notes
ChatGPT / Claude / Gemini + Sheets / Looker Studio workflows,AI/DIY workflow threat,Tier 1,https://chatgpt.com,researched_2026-05-07,competitors/chatgpt-claude-gemini-sheets-looker-studio-workflows.md,See canonical profile and category research.
Databox,BI/dashboard substitute,Tier 1,https://databox.com,researched_2026-05-07,competitors/databox.md,Strong dashboard/reporting threat with agency features and MCP/AI.
Klipfolio,BI/dashboard substitute,Tier 1,https://www.klipfolio.com,researched_2026-05-07,competitors/klipfolio.md,See canonical profile and category research.
Looker Studio,BI/dashboard substitute,Tier 1,https://lookerstudio.google.com,researched_2026-05-07,competitors/looker-studio.md,Free DIY baseline and common substitute/switch source.
Funnel.io,Connector/marketing data hub,Tier 1,https://funnel.io,researched_2026-05-07,competitors/funnel-io.md,See canonical profile and category research.
Supermetrics,Connector/report automation,Tier 1,https://supermetrics.com,researched_2026-05-07,competitors/supermetrics.md,Connector-layer leader pushing data into BI/AI/MCP workflows.
Power My Analytics,Connector/report automation,Tier 2,https://www.powermyanalytics.com,researched_2026-05-07,competitors/power-my-analytics.md,"Low-cost agency connector/data-hub threat; strong Looker Studio/Sheets value, no native client portal."
AgencyAnalytics,Direct agency reporting,Tier 1,https://agencyanalytics.com,researched_2026-05-07,competitors/agencyanalytics.md,Core direct agency-reporting benchmark; watch API/AI/white-label gates.
Whatagraph,Direct agency reporting,Tier 1,https://whatagraph.com,researched_2026-05-07,competitors/whatagraph.md,Direct agency reporting / marketing intelligence threat with source-credit pricing and strong Whatagraph IQ story.
Reporting Ninja,Direct agency reporting,Tier 2,https://www.reportingninja.com,researched_2026-05-07,competitors/reporting-ninja.md,Low-cost reporting + Looker Studio/Sheets connector hybrid; all-features-included pricing wedge.
DashThis,Direct agency reporting,Tier 1,https://dashthis.com,researched_2026-05-07,competitors/dashthis.md,Dashboard/source pricing; simplicity competitor.
Swydo,Direct agency reporting,Tier 1,https://www.swydo.com,researched_2026-05-07,competitors/swydo.md,Closest simplicity language; data-source pricing contrast.
Microsoft Power BI,BI/dashboard substitute,Tier 2,https://powerbi.microsoft.com,researched_2026-05-07,competitors/microsoft-power-bi.md,See canonical profile and category research.
Tableau,BI/dashboard substitute,Tier 2,https://www.tableau.com,researched_2026-05-07,competitors/tableau.md,See canonical profile and category research.
Windsor.ai,Connector/attribution,Tier 2,https://windsor.ai,researched_2026-05-07,competitors/windsor-ai.md,See canonical profile and category research.
Coupler.io,Connector/report automation,Tier 2,https://www.coupler.io,researched_2026-05-07,competitors/coupler-io.md,See canonical profile and category research.
