domain,total_urls,blog/resources,solution/keyword pages,templates,integrations/connectors,alternatives/comparisons,ai/agent pages,metrics/kpi/glossary,commercial/proof,home,other
twominutereports.com,754,57,61,211,65,34,7,255,2,1,
agencyanalytics.com,19,1,1,1,1,,,,2,1,
dashthis.com,1009,318,244,61,38,27,6,245,3,1,
whatagraph.com,657,193,124,86,70,42,3,36,30,1,
swydo.com,493,167,38,107,37,35,1,30,4,1,
databox.com,2087,10,342,69,82,24,6,134,72,1,
tapclicks.com,901,323,71,5,268,32,47,7,1,1,146
reportgarden.com,0,,,,,,,,,,
reportingninja.com,432,196,60,42,7,34,,36,2,1,54
supermetrics.com,1678,197,26,52,41,29,165,61,86,1,1020
powermyanalytics.com,607,1,2,28,473,4,1,1,4,1,92
funnel.io,1178,371,32,27,208,34,14,16,44,1,431
windsor.ai,2392,1,26,178,1381,64,112,12,30,1,587
portermetrics.com,4587,28,213,808,293,367,108,154,6,1,2609
coupler.io,1723,,107,2,1528,,18,25,22,1,20
www.oviond.com,330,2,41,38,67,17,2,6,3,1,153
