domain,url,path,cluster
coupler.io,https://www.coupler.io,,home
coupler.io,https://www.coupler.io/affiliate-program,/affiliate-program,other
coupler.io,https://www.coupler.io/ai-insights,/ai-insights,ai/agent pages
coupler.io,https://www.coupler.io/ai-integrations,/ai-integrations,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations,/bigquery-integrations,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/7shifts-to-bigquery,/bigquery-integrations/7shifts-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/activecampaign-to-bigquery,/bigquery-integrations/activecampaign-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/adobe-commerce-magento-to-bigquery,/bigquery-integrations/adobe-commerce-magento-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/aircall-to-bigquery,/bigquery-integrations/aircall-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/airtable-to-bigquery,/bigquery-integrations/airtable-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/amazon-ads-to-bigquery,/bigquery-integrations/amazon-ads-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/amplitude-to-bigquery,/bigquery-integrations/amplitude-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/apple-search-ads-to-bigquery,/bigquery-integrations/apple-search-ads-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/asana-to-bigquery,/bigquery-integrations/asana-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/bing-ads-to-bigquery,/bigquery-integrations/bing-ads-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/braze-to-bigquery,/bigquery-integrations/braze-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/brevo-to-bigquery,/bigquery-integrations/brevo-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/brex-to-bigquery,/bigquery-integrations/brex-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/calendly-to-bigquery,/bigquery-integrations/calendly-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/chargebee-to-bigquery,/bigquery-integrations/chargebee-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/chartmogul-to-bigquery,/bigquery-integrations/chartmogul-to-bigquery,integrations/connectors
coupler.io,https://www.coupler.io/bigquery-integrations/cin7-to-bigquery,/bigquery-integrations/cin7-to-bigquery,integrations/connectors
